chapter,chapter_file,theorem_group,theorem_ids_or_scope,code_anchors,artifact_paths,token_or_claim,status
ch15,chapters/ch15_assumptions_notation_proof_discipline.tex,A1-A8,A1-A8,configs/dc3s.yaml,orius-plan/assumption_register.md,ASM_REGISTER,locked
ch16,chapters/ch16_battery_theorem_oasg_existence.tex,A,T1,src/orius/cpsbench_iot/scenarios.py;src/orius/cpsbench_iot/runner.py,reports/publication/dc3s_main_table_ci.csv,THM_T1_OASG,flagship_defended
ch17,chapters/ch17_battery_theorem_safety_preservation.tex,A,T2,src/orius/dc3s/guarantee_checks.py;src/orius/dc3s/shield.py,reports/publication/dc3s_main_table_ci.csv,THM_T2_SAFETY,flagship_defended
ch18,chapters/ch18_orius_core_bound_battery.tex,A,T3,src/orius/dc3s/coverage_theorem.py,reports/publication/reliability_group_coverage_phase3.csv;reports/publication/claim_evidence_matrix.csv,THM_T3_COVERAGE,draft_non_defended
ch19,chapters/ch19_no_free_safety_battery.tex,D,T4,src/orius/cpsbench_iot/baselines.py;src/orius/cpsbench_iot/runner.py,reports/publication/fault_performance_table.csv,THM_T4_NO_FREE_SAFETY,supporting_defended
ch20,chapters/ch20_temporal_behavioral_extensions.tex,B,T5,src/orius/dc3s/temporal_theorems.py,reports/blackout/blackout_study.csv,THM_T5_CERT_HORIZON,flagship_defended
ch20,chapters/ch20_temporal_behavioral_extensions.tex,B,T6,src/orius/dc3s/temporal_theorems.py,reports/blackout/blackout_study.csv;reports/publication/blackout_half_life.csv,THM_T6_CERT_EXPIRATION,flagship_defended
ch20,chapters/ch20_temporal_behavioral_extensions.tex,C,T7,src/orius/dc3s/temporal_theorems.py,reports/blackout/graceful_degradation_trace.csv,THM_T7_FALLBACK,draft_non_defended
ch20,chapters/ch20_temporal_behavioral_extensions.tex,C,T8,src/orius/dc3s/temporal_theorems.py;src/orius/dc3s/shield.py,reports/blackout/graceful_degradation_trace.csv;reports/blackout/graceful_degradation_trace.png,THM_T8_GRACEFUL_DOMINANCE,draft_non_defended
ch21,chapters/ch21_fault_performance_stress_tests.tex,empirical,fault stress,scripts/make_fault_benchmark_tables.py,reports/fault_benchmark/fault_performance_table.csv,TBL_FAULT_STRESS,locked
ch22,chapters/ch22_latency_systems_footprint.tex,systems,latency/runtime,scripts/make_latency_tables.py,reports/latency/dc3s_latency_summary.csv;reports/hil/hil_timing_table.csv,TBL_LATENCY_FOOTPRINT,locked
ch23,chapters/ch23_hyperparameter_surface_stability.tex,empirical,surface stability,scripts/sweep_hyperparameters.py,reports/calibration/hyperparameter_surfaces.csv;reports/calibration/hyperparameter_surface.png,FIG_HYPERPARAM_SURFACE,locked
