severity,blocking,source_type,path,table,column,row_index,issue,value,detail,recommendation
warning,False,csv,paper/assets/tables/tbl02_ablations.csv,not_applicable,true_soc_violation_rate_wilcoxon_stat,not_applicable,all_zero_metric_review,not_applicable,9 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,paper/assets/tables/tbl02_ablations.csv,not_applicable,true_soc_violation_severity_p95_wilcoxon_stat,not_applicable,all_zero_metric_review,not_applicable,9 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,paper/assets/tables/tbl01_main_results.csv,not_applicable,true_soc_violation_rate_ci_low,not_applicable,all_zero_metric_review,not_applicable,5 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,paper/assets/tables/tbl01_main_results.csv,not_applicable,true_soc_violation_severity_p95_ci_low,not_applicable,all_zero_metric_review,not_applicable,5 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,paper/assets/tables/tbl01_main_results.csv,not_applicable,intervention_rate_ci_low,not_applicable,all_zero_metric_review,not_applicable,5 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,tex,paper/assets/tables/generated/tbl_battery_deep_oqe_summary.tex,not_applicable,not_applicable,10,rendered_placeholder_cell,Fault AUC & --- & 0.5213 \\,not_applicable,Render an explicit semantic value in the table cell.
error,True,tex,paper/assets/tables/generated/tbl_intervention_tradeoff.tex,not_applicable,not_applicable,8,rendered_placeholder_cell,& \textbf{TSVR} & \textbf{TSVR} & & & \\,not_applicable,Render an explicit semantic value in the table cell.
error,True,tex,paper/assets/tables/generated/tbl_vehicle_leaderboard.tex,not_applicable,not_applicable,11,rendered_placeholder_cell,3 & Robust & --- & --- & --- \\,not_applicable,Render an explicit semantic value in the table cell.
error,True,tex,paper/assets/tables/generated/tbl_multi_domain_evidence_gate.tex,not_applicable,not_applicable,8,rendered_placeholder_cell,& \textbf{TSVR mean} & \textbf{TSVR mean} & \textbf{($\geq$25\%)} & \\,not_applicable,Render an explicit semantic value in the table cell.
error,True,tex,paper/assets/tables/generated/tbl_per_domain_controller_comparison.tex,not_applicable,not_applicable,9,rendered_placeholder_cell,Battery (Ref.) & --- & --- \\,not_applicable,Render an explicit semantic value in the table cell.
