claim_id,status,category,manuscript_locations,claim_text,canonical_value,source_file,source_locator,run_id,timestamp_utc,rounding_rule,notes
C001,Verified,Universal Safety,"orius_book.tex; paper/PAPER_DRAFT.md",ORIUS-Bench canonical schema version,2.0.0,paper/metrics_manifest.json,claim_family.schema_version,,,exact match,Canonical benchmark schema is domain-agnostic and release-locked
C002,Verified,Master File,Internal governance,Canonical manuscript authority,orius_book.tex,paper/metrics_manifest.json,metric_policy.master_manuscript,,,exact match,LaTeX-first manuscript authority
C003,Verified,Dataset Profile,"orius_book.tex; paper/PAPER_DRAFT.md",DE rows,17377,reports/publication/release_manifest.json,dataset_profiles.de.rows,,,integer,Tracked publication release manifest replaces ignored dashboard cache
C004,Verified,Dataset Profile,"orius_book.tex; paper/PAPER_DRAFT.md",US rows,13638,reports/publication/release_manifest.json,dataset_profiles.us.rows,,,integer,Tracked publication release manifest replaces ignored dashboard cache
C005,Verified,Dataset Profile,"orius_book.tex; paper/PAPER_DRAFT.md",DE engineered feature count,94,reports/publication/release_manifest.json,dataset_profiles.de.feature_count,,,integer,Tracked publication release manifest replaces ignored dashboard cache
C006,Verified,Dataset Profile,"orius_book.tex; paper/PAPER_DRAFT.md",US engineered feature count,114,reports/publication/release_manifest.json,dataset_profiles.us.feature_count,,,integer,Tracked publication release manifest replaces ignored dashboard cache
C007,Verified,Universal Safety,"orius_book.tex; paper/PAPER_DRAFT.md",Nominal DC3S FTIT TSVR in tracked benchmark main table,0.000000,reports/publication/dc3s_main_table_ci.csv,"scenario=nominal, controller=dc3s_ftit, violation_rate_mean",,,fixed decimal (6 dp),Canonical universal safety claim
C008,Verified,Latency Budget,"orius_book.tex; paper/PAPER_DRAFT.md",Full DC3S step p95 latency (ms),0.1193,reports/publication/dc3s_latency_summary.csv,"component=Full DC3S step, p95_ms",,,fixed decimal (4 dp),Canonical universal latency budget claim
C009,Verified,Artifact Provenance,Internal governance,Tracked publication release manifest frozen timestamp,2026-03-29T03:43:35.825681+00:00,reports/publication/release_manifest.json,frozen_at_utc,,,exact match,Canonical release provenance root
C010,Historical,Dataset Manifest,historical_release_lock,Historical tracked release-manifest generation timestamp,2026-03-11T18:23:38.652540+00:00,reports/publication/release_manifest.json,generated_at_utc,,,exact match,Retained only as a non-canonical historical release reference
C011,Inactive,Decision Impact,NOT PRESENT,Legacy energy-impact claim family is no longer the canonical manuscript governance surface,Replaced by universal safety claim family,None,None,,,n/a,Energy impact artifacts remain in repo but are not the canonical lock surface
